Name,Best_Resolution,Memory_Bandwidth,Memory_Speed,Manufacturer,Release_Price,Core_Speed_Value,Core_Speed_Unit,Max_Power_Value,Max_Power_Unit,Memory_Value,Memory_Unit,Release_Year
Radeon 9800 XT,786432,23.4GB/sec,730 MHz,AMD,,,,60,Watts,256,MB,2003
Tesla C2070,,144GB/sec,750 MHz,Nvidia,,575,MHz,238,Watts,6144,MB,2010
Tesla C2075,,144GB/sec,750 MHz,Nvidia,,575,MHz,247,Watts,6144,MB,2011
Quadro4 750 XGL,,3.6GB/sec,225 MHz,Nvidia,,,,,,128,MB,2002
Quadro4 900 XGL,,5.2GB/sec,325 MHz,Nvidia,,,,,,128,MB,2002
Iris i5 6360U,1049088,34.1GB/sec,1067 MHz,Intel,,300,MHz,15,Watts,,,2015
Quadro4 780 XGL,,4.4GB/sec,275 MHz,Nvidia,,,,,,128,MB,2002
Tesla C2050,,144GB/sec,750 MHz,Nvidia,,575,MHz,238,Watts,3072,MB,2010
Iris i5 6267U,1049088,34.1GB/sec,1067 MHz,Intel,,300,MHz,28,Watts,,,2015
Iris i5 6260U,1049088,34.1GB/sec,1067 MHz,Intel,,300,MHz,15,Watts,,,2015
Iris i5 4258U,1049088,25.6GB/sec,800 MHz,Intel,,200,MHz,15,Watts,,,2013
Quadro4 580 XGL,,3.2GB/sec,200 MHz,Nvidia,,,,,,64,MB,2002
Iris i5 5350H,1049088,29.9GB/sec,933 MHz,Intel,,300,MHz,47,Watts,,,2015
Quadro4 550 XGL,,3.2GB/sec,200 MHz,Nvidia,,,,,,64,MB,2002
Quadro4 380 XGL,,4.1GB/sec,256 MHz,Nvidia,,,,,,128,MB,2002
Quadro4 700 XGL,,3.6GB/sec,225 MHz,Nvidia,,,,,,64,MB,2002
Iris i5 6287U,1049088,34.1GB/sec,1067 MHz,Intel,,300,MHz,28,Watts,,,2015
Iris i7 6650U,1049088,34.1GB/sec,1067 MHz,Intel,,300,MHz,15,Watts,,,2015
Quadro4 500 XGL,,2.7GB/sec,166 MHz,Nvidia,,,,,,128,MB,2002
Iris i7 6567U,1049088,34.1GB/sec,1067 MHz,Intel,,300,MHz,28,Watts,,,2015
Iris i7 6560U,1049088,34.1GB/sec,1067 MHz,Intel,,300,MHz,15,Watts,,,2015
Iris i7 5950HQ,1049088,29.9GB/sec,933 MHz,Intel,,300,MHz,47,Watts,,,2015
Iris i7 5850EQ,1049088,25.6GB/sec,800 MHz,Intel,,300,MHz,47,Watts,,,2015
Titan X Pascal 2016,8294400,480GB/sec,1250 MHz,Nvidia,1199,,,250,Watts,,,2016
Iris i7 5850HQ,1049088,29.9GB/sec,933 MHz,Intel,,300,MHz,47,Watts,,,2015
Iris i7 5750HQ,1049088,29.9GB/sec,933 MHz,Intel,,300,MHz,47,Watts,,,2015
GeForce Titan XP,8294400,547.2GB/sec,1425 MHz,Nvidia,1199,,,250,Watts,12288,MB,2017
GeForce GTX Titan Zotac Edition,3686400,288.4GB/sec,1502 MHz,Nvidia,,837,MHz,250,Watts,6144,MB,2013
GeForce GTX Titan Z Palit 12GB Edition,9216000,672GB/sec,1750 MHz,Nvidia,2999,705,MHz,375,Watts,12288,MB,2014
GeForce GTX Titan Z EVGA Superclocked 12GB Edition,9216000,672GB/sec,1750 MHz,Nvidia,,,,375,Watts,12288,MB,2014
GeForce GTX Titan Z,8294400,672GB/sec,1750 MHz,Nvidia,2999,705,MHz,375,Watts,12288,MB,2014
GeForce GTX Titan Z EVGA Hydro Copper 12GB Edition,9216000,672GB/sec,1750 MHz,Nvidia,,,,375,Watts,12288,MB,2014
GeForce GTX Titan X EVGA Hybrid 12GB Edition,8294400,336.6GB/sec,1753 MHz,Nvidia,1099,1140,MHz,250,Watts,12288,MB,2015
GeForce GTX Titan X EVGA Superclocked 12GB Edition SLI,8294400,673.2GB/sec,1753 MHz,Nvidia,2059,1127,MHz,,,24576,MB,2015
GeForce GTX Titan Zotac AMP! Edition,3686400,317.2GB/sec,1652 MHz,Nvidia,,902,MHz,,,6144,MB,2013
GeForce GTX Titan X SLI,6220800,673.2GB/sec,1753 MHz,Nvidia,1998,1000,MHz,450,Watts,24576,MB,2015
GeForce GTX Titan X,8294400,336.6GB/sec,1753 MHz,Nvidia,999,1000,MHz,250,Watts,12288,MB,2015
GeForce GTX Titan X EVGA Superclocked 12GB Edition,8294400,336.6GB/sec,1753 MHz,Nvidia,1029.99,1127,MHz,250,Watts,12288,MB,2015
GeForce GTX Titan WindForce 3X OC Edition,3686400,288.4GB/sec,1502 MHz,Nvidia,,928,MHz,265,Watts,6144,MB,2013
GeForce GTX Titan SLI,9216000,576.8GB/sec,1502 MHz,Nvidia,,837,MHz,500,Watts,12288,MB,2013
GeForce GTX Titan P 12GB [not released],8294400,384GB/sec,500 MHz,Nvidia,999,1000,MHz,300,Watts,12288,MB,2016
GeForce GTX Titan Inno3D Edition,3686400,288.4GB/sec,1502 MHz,Nvidia,,837,MHz,250,Watts,6144,MB,2013
GeForce GTX Titan P 16GB [not released],8294400,512GB/sec,500 MHz,Nvidia,1299,1000,MHz,375,Watts,16384,MB,2016
GeForce GTX Titan Gigabyte Edition,3686400,288.4GB/sec,1502 MHz,Nvidia,,837,MHz,250,Watts,6144,MB,2013
GeForce GTX Titan iChill Accelero Hybrid Edition,3686400,288.4GB/sec,1502 MHz,Nvidia,,937,MHz,265,Watts,6144,MB,2013
GeForce GTX Titan Asus Edition,3686400,288.4GB/sec,1502 MHz,Nvidia,,837,MHz,250,Watts,6144,MB,2013
GeForce GTX Titan Black Edition,3686400,336GB/sec,1750 MHz,Nvidia,999,889,MHz,250,Watts,6144,MB,2014
Radeon HD 8670D + 6670 Dual,1049088,28.8GB/sec,900 MHz,AMD,,,,,,2048,MB,2013
GeForce GTX Titan EVGA Edition,3686400,288.4GB/sec,1502 MHz,Nvidia,,837,MHz,250,Watts,6144,MB,2013
GeForce GTX Titan,3686400,288.4GB/sec,1502 MHz,Nvidia,999,837,MHz,250,Watts,6144,MB,2013
Radeon HD 7660D + 6670 Dual,,28.8GB/sec,900 MHz,AMD,,,,,,,,2012
Radeon HD 7560D + 7670 Dual,,,,AMD,,,,,,,,2012
Radeon HD 7560D + 6570 Dual,,28.8GB/sec,900 MHz,AMD,,,,,,1024,MB,2012
Radeon HD 7660D + 7670 Dual,,28.8GB/sec,900 MHz,AMD,,,,,,1024,MB,2012
Radeon 8500 Series 64MB,,8.8GB/sec,550 MHz,AMD,,,,,,64,MB,2001
Radeon 9800 Pro,786432,44.8GB/sec,700 MHz,AMD,,,,47,Watts,128,MB,2003
Radeon 9600 PRO PC/Mac Edition,480000,4.8GB/sec,300 MHz,AMD,,,,,,256,MB,2005
Radeon 9550,,3.2GB/sec,200 MHz,AMD,,,,,,256,MB,2004
Radeon 9600 PRO,480000,4.8GB/sec,300 MHz,AMD,,,,18,Watts,128,MB,2003
Radeon 9500 Pro,,4.3GB/sec,270 MHz,AMD,,,,,,128,MB,2002
Radeon 9500,,4.3GB/sec,270 MHz,AMD,,,,,,128,MB,2002
Radeon 9600 Series,,6.4GB/sec,400 MHz,AMD,,,,,,128,MB,2003
Radeon 9250,,3.2GB/sec,200 MHz,AMD,,,,,,128,MB,2004
Radeon 9200 Series,,3.2GB/sec,200 MHz,AMD,,,,,,128,MB,2003
Radeon 9100,,4GB/sec,250 MHz,AMD,,,,28,Watts,64,MB,2003
FireGL V7700,,72GB/sec,1125 MHz,AMD,,,,,,512,MB,2008
FireGL V7350,,41.6GB/sec,650 MHz,AMD,,,,,,1024,MB,2006
FireGL V7100,,28.8GB/sec,450 MHz,AMD,,,,,,256,MB,2004
Radeon 9000 Series 64MB,,8GB/sec,500 MHz,AMD,,,,,,64,MB,2002
FireGL V8600,,111.1GB/sec,868 MHz,AMD,,,,,,1024,MB,2007
FireGL V5600,,35.2GB/sec,1100 MHz,AMD,,,,,,512,MB,2007
FireGL V7200,,41.6GB/sec,650 MHz,AMD,,,,450,Watts,256,MB,2006
FireGL V7600,,51.2GB/sec,800 MHz,AMD,,,,,,512,MB,2007
FireGL Z1,,9.9GB/sec,310 MHz,AMD,,,,,,128,MB,2002
FireGL V5100,,11.2GB/sec,350 MHz,AMD,,,,,,128,MB,2005
FireGL V3600,,16GB/sec,500 MHz,AMD,,,,,,256,MB,2007
FireGL V3350,,6.4GB/sec,400 MHz,AMD,,,,,,256,MB,2006
FireGL V3300,,6.4GB/sec,400 MHz,AMD,,,,,,128,MB,2006
FireGL V3400,,16GB/sec,500 MHz,AMD,,,,,,128,MB,2006
FirePro W9100,4096000,320GB/sec,1250 MHz,AMD,,,,290,Watts,16384,MB,2014
FirePro W8000,,176GB/sec,1375 MHz,AMD,,,,225,Watts,4096,MB,2012
FireGL V3100,,3.2GB/sec,200 MHz,AMD,,,,,,128,MB,2004
FirePro W5000,,102.4GB/sec,800 MHz,AMD,,,,75,Watts,2048,MB,2012
FirePro W9000,2073600,264GB/sec,1375 MHz,AMD,,,,274,Watts,6144,MB,2012
FirePro V8750,,115.2GB/sec,900 MHz,AMD,,,,154,Watts,2048,MB,2009
FirePro W7000,,153.6GB/sec,1200 MHz,AMD,,,,150,Watts,4096,MB,2012
FirePro V7900,,160GB/sec,1250 MHz,AMD,,,,150,Watts,2048,MB,2011
FirePro W2100,1049088,28.8GB/sec,900 MHz,AMD,,630,MHz,26,Watts,2048,MB,2014
FirePro V8700,,108.8GB/sec,850 MHz,AMD,,,,151,Watts,1024,MB,2008
FirePro V7800,,128GB/sec,1000 MHz,AMD,,,,138,Watts,2048,MB,2010
FirePro V5900,,128GB/sec,1000 MHz,AMD,,,,75,Watts,2048,MB,2011
All-in-Wonder 9000 64MB,,3.2GB/sec,200 MHz,AMD,,,,,,64,MB,2003
FirePro V5800,1440000,64GB/sec,1000 MHz,AMD,,,,74,Watts,1024,MB,2010
FirePro V5700,1049088,28.8GB/sec,900 MHz,AMD,,,,56,Watts,512,MB,2008
FirePro V3750,1049088,22.4GB/sec,700 MHz,AMD,,,,48,Watts,256,MB,2008
FireGL 8800,,2.3GB/sec,290 MHz,AMD,,,,,,128,MB,2001
FirePro S9150,9216000,320GB/sec,1250 MHz,AMD,,,,235,Watts,16384,MB,2014
FirePro S9050,4096000,264GB/sec,1375 MHz,AMD,,900,MHz,225,Watts,12288,MB,2014
FirePro V9800,2073600,147.2GB/sec,1150 MHz,AMD,,,,250,Watts,4096,MB,2010
FirePro S9000,,264GB/sec,1375 MHz,AMD,,900,MHz,225,Watts,6144,MB,2012
FirePro S7000,,153.6GB/sec,1200 MHz,AMD,,,,150,Watts,4096,MB,2012
FirePro D700,2073600,264GB/sec,1375 MHz,AMD,,,,274,Watts,3072,MB,2014
FirePro D500,2073600,240GB/sec,1250 MHz,AMD,,,,175,Watts,3072,MB,2014
FirePro V3900,1049088,28.8GB/sec,900 MHz,AMD,,,,75,Watts,1024,MB,2012
Radeon R7 7860K,1049088,34.1GB/sec,1067 MHz,AMD,,,,65,Watts,,,2016
FireStream 9370,,153.6GB/sec,1200 MHz,AMD,,,,225,Watts,4096,MB,2010
Radeon R7 7700K,1049088,34.1GB/sec,1067 MHz,AMD,,,,95,Watts,,,2014
Radeon R7 7850K,1049088,34.1GB/sec,1067 MHz,AMD,,,,95,Watts,,,2014
Radeon R7 7870K,1049088,34.1GB/sec,1067 MHz,AMD,,,,95,Watts,,,2015
Radeon R7 7890K,1049088,34.1GB/sec,1067 MHz,AMD,,,,95,Watts,,,2016
FirePro S10000,,240GB/sec,1250 MHz,AMD,,825,MHz,375,Watts,6144,MB,2012
FireStream 9270,1440000,108.8GB/sec,850 MHz,AMD,,,,160,Watts,2048,MB,2008
FireStream 9350,2073600,128GB/sec,1000 MHz,AMD,,,,150,Watts,2048,MB,2010
FireStream 9170,1049088,51.2GB/sec,800 MHz,AMD,,,,105,Watts,2048,MB,2007
Radeon R7 7800,1049088,34.1GB/sec,1067 MHz,AMD,,,,65,Watts,,,2014
FireStream 9250,1440000,63.6GB/sec,993 MHz,AMD,,,,150,Watts,1024,MB,2008
Radeon R7 7600,1049088,34.1GB/sec,1067 MHz,AMD,,,,65,Watts,,,2014
Radeon R7 7600P,1049088,34.1GB/sec,1067 MHz,AMD,,,,35,Watts,,,2014
Radeon R7 7670K,1049088,34.1GB/sec,1067 MHz,AMD,,757,MHz,95,Watts,,,2015
Radeon R7 7650K,1049088,34.1GB/sec,1067 MHz,AMD,,720,MHz,95,Watts,,,2015
Radeon R3 5150,1049088,25.6GB/sec,800 MHz,AMD,,,,25,Watts,,,2014
Radeon HD 8670D,,34.1GB/sec,1067 MHz,AMD,,,,100,Watts,,,2013
Radeon R5 7400K,1049088,29.9GB/sec,933 MHz,AMD,,,,65,Watts,,,2014
Radeon R3 5350,1049088,25.6GB/sec,800 MHz,AMD,,,,25,Watts,,,2014
Radeon HD 8650D,1049088,34.1GB/sec,1067 MHz,AMD,,720,MHz,65,Watts,,,2013
Radeon HD 8570D,,29.9GB/sec,933 MHz,AMD,,,,65,Watts,,,2013
Radeon HD 8550D,1049088,34.1GB/sec,1067 MHz,AMD,,760,MHz,65,Watts,,,2013
Radeon HD 8470D,,29.9GB/sec,933 MHz,AMD,,,,65,Watts,,,2013
Radeon HD 6690D2,,,,AMD,,,,,,,,
Radeon HD 7660D,,29.9GB/sec,933 MHz,AMD,,,,,,,,2012
Radeon HD 7540D,,29.9GB/sec,933 MHz,AMD,,,,65,Watts,,,2012
Radeon HD 7560D,,29.9GB/sec,933 MHz,AMD,,,,,,,,2012
Radeon HD 6610D2,,,,AMD,,,,,,2048,MB,
Radeon HD 8370D,1049088,34.1GB/sec,1067 MHz,AMD,,760,MHz,65,Watts,,,2013
Radeon HD 7480D,,25.6GB/sec,800 MHz,AMD,,,,65,Watts,,,2012
Radeon HD 6370D,,,,AMD,,,,65,Watts,,,2011
Radeon HD 6410D,,,,AMD,,,,65,Watts,,,2011
Radeon HD 2400 XT ,480000,8GB/sec,500 MHz,AMD,,,,25,Watts,256,MB,2007
Radeon HD 6550D,,,,AMD,,,,100,Watts,,,2011
Radeon HD 2400 Pro PCI-E,480000,6.4GB/sec,400 MHz,AMD,,,,25,Watts,256,MB,2007
Radeon HD 2600 Pro,786432,16GB/sec,500 MHz,AMD,,,,35,Watts,256,MB,2007
Radeon HD 2400 Series,,,,AMD,,,,25,Watts,256,MB,2007
Radeon HD 2400 Pro,480000,6.4GB/sec,400 MHz,AMD,,,,20,Watts,256,MB,2007
Radeon HD 2400 MSI Pro 256MB GDDR2,480000,6.4GB/sec,400 MHz,AMD,,,,,,256,MB,2007
Radeon HD 2100,,5.3GB/sec,333 MHz,AMD,,,,,,,,2007
Radeon HD 4890 Sapphire Vapor-X OC 1GB Edition,2073600,134.4GB/sec,1050 MHz,AMD,,870,MHz,190,Watts,1024,MB,2009
Radeon HD 6530D,,29.9GB/sec,933 MHz,AMD,,,,64,Watts,,,2011
Radeon HD 4890 Sapphire Toxic Atomic 1GB Edition,2073600,134.4GB/sec,1050 MHz,AMD,,1000,MHz,190,Watts,1024,MB,2009
Radeon HD 2350 Pro,307200,6.4GB/sec,400 MHz,AMD,,,,20,Watts,256,MB,2007
Radeon HD 4890 Sapphire OC 1GB Edition,2073600,128GB/sec,1000 MHz,AMD,,901,MHz,190,Watts,1024,MB,2009
Radeon HD 4870 X2,2073600,230.4GB/sec,900 MHz,AMD,,,,420,Watts,2048,MB,2009
Radeon HD 4890 Sapphire Toxic 1GB Edition,2073600,134.4GB/sec,1050 MHz,AMD,249,960,MHz,190,Watts,1024,MB,2009
Radeon HD 4870 Sapphire Vapor-X 1GB Edition,1440000,115.2GB/sec,900 MHz,AMD,,750,MHz,150,Watts,1024,MB,2009
Radeon HD 4890,2073600,124.8GB/sec,975 MHz,AMD,249,850,MHz,190,Watts,1024,MB,2009
Radeon HD 4870,1440000,115.2GB/sec,900 MHz,AMD,,,,150,Watts,512,MB,2008
Radeon HD 4870 PowerColor PCS+ 512MB Edition,1440000,121.6GB/sec,950 MHz,AMD,,780,MHz,150,Watts,512,MB,2008
Radeon HD 4850x2,1296000,63.6GB/sec,993 MHz,AMD,,625,MHz,250,Watts,2048,MB,2009
Radeon HD 4850 Sapphire Vapor-X Edition,1296000,64GB/sec,1000 MHz,AMD,,650,MHz,,,1024,MB,2011
Radeon HD 4860,1440000,96GB/sec,750 MHz,AMD,,,,130,Watts,512,MB,2009
Radeon HD 4850 Golden Sample Edition,1296000,70.4GB/sec,1100 MHz,AMD,,700,MHz,,,512,MB,2008
Radeon HD 4850 HIS iCooler IV 1GB Edition,1296000,63.6GB/sec,993 MHz,AMD,,625,MHz,110,Watts,1024,MB,2008
Radeon HD 4850 Gigabyte 512MB Edition,1296000,60.2GB/sec,940 MHz,AMD,,640,MHz,110,Watts,512,MB,2011
Radeon HD 4850 Gigabyte OC Edition,1296000,63.4GB/sec,990 MHz,AMD,,700,MHz,,,1024,MB,2009
Radeon HD 4850,1296000,63.6GB/sec,993 MHz,AMD,,625,MHz,110,Watts,512,MB,2008
Radeon HD 4830 512MB,1440000,57.6GB/sec,900 MHz,AMD,130,575,MHz,95,Watts,512,MB,2008
Radeon HD 4830 HIS Fan 512MB Edition,1440000,57.6GB/sec,900 MHz,AMD,,575,MHz,95,Watts,512,MB,2008
Radeon HD 4670 HIS IceQ 1GB Edition,1049088,27.9GB/sec,873 MHz,AMD,,750,MHz,59,Watts,1024,MB,2008
Radeon HD 4770 512MB,1049088,51.2GB/sec,800 MHz,AMD,109,750,MHz,80,Watts,512,MB,2009
Radeon HD 4730 ,1296000,57.6GB/sec,900 MHz,AMD,,,,110,Watts,512,MB,2009
Radeon HD 4730 PowerColor PCS Edition,1296000,57.6GB/sec,900 MHz,AMD,,,,,,512,MB,2009
Radeon HD 4750,1296000,51.2GB/sec,800 MHz,AMD,,,,75,Watts,512,MB,2009
Radeon HD 4670 Gigabyte 1GB Edition,1049088,25.6GB/sec,800 MHz,AMD,,750,MHz,59,Watts,1024,MB,2009
Radeon HD 4670 AGP,1049088,25.6GB/sec,800 MHz,AMD,,750,MHz,59,Watts,1024,MB,2007
Radeon HD 4670 Asus 512MB Edition,1049088,32.1GB/sec,1004 MHz,AMD,,750,MHz,59,Watts,512,MB,2008
Radeon HD 4650 v2,921600,24GB/sec,750 MHz,AMD,,600,MHz,48,Watts,1024,MB,2008
Radeon HD 4650 1GB,921600,22.4GB/sec,700 MHz,AMD,,600,MHz,48,Watts,1024,MB,2008
Radeon HD 4670 1GB,1049088,25.6GB/sec,800 MHz,AMD,,750,MHz,59,Watts,1024,MB,2008
Radeon HD 4350 Asus Silent 512MB Edition,480000,6.4GB/sec,400 MHz,AMD,,600,MHz,20,Watts,512,MB,2008
Radeon HD 4650,921600,12.8GB/sec,400 MHz,AMD,,,,48,Watts,512,MB,2008
Radeon HD 4650 Asus Low Profile Edition,921600,12.8GB/sec,400 MHz,AMD,,,,48,Watts,1024,MB,2008
Radeon HD 4550,786432,12.8GB/sec,800 MHz,AMD,,600,MHz,25,Watts,256,MB,2008
Radeon HD 4350 1GB,480000,8GB/sec,500 MHz,AMD,,600,MHz,20,Watts,1024,MB,2008
Radeon HD 4550 v2,786432,12.8GB/sec,800 MHz,AMD,,600,MHz,25,Watts,512,MB,2008
Radeon HD 4670 512MB,1049088,25.6GB/sec,800 MHz,AMD,67,750,MHz,59,Watts,512,MB,2008
Radeon HD 4350,480000,6.4GB/sec,400 MHz,AMD,,600,MHz,20,Watts,512,MB,2008
Radeon HD 4250,,,,AMD,,,,,,,,2010
Radeon HD 4290,,,,AMD,,,,,,,,2010
GeForce GT 140,,57.6GB/sec,900 MHz,Nvidia,,650,MHz,105,Watts,1024,MB,2009
GeForce GT 130,,24GB/sec,500 MHz,Nvidia,,500,MHz,75,Watts,768,MB,2009
GeForce GT 120,,16GB/sec,500 MHz,Nvidia,,500,MHz,50,Watts,512,MB,2009
Radeon HD 4200,,,,AMD,,,,,,,,2009
Radeon HD 3870 X2,1296000,57.6GB/sec,900 MHz,AMD,,825,MHz,165,Watts,1024,MB,2008
Radeon HD 3870,1296000,72.1GB/sec,1126 MHz,AMD,,777,MHz,106,Watts,512,MB,2007
Radeon HD 3850 X2,1049088,106GB/sec,828 MHz,AMD,,,,140,Watts,1024,MB,2008
Radeon HD 3830,921600,26.6GB/sec,830 MHz,AMD,,,,75,Watts,256,MB,2008
Radeon HD 3690,786432,26.6GB/sec,830 MHz,AMD,,,,75,Watts,256,MB,2008
Radeon HD 3800 series,,,,AMD,,,,,,512,MB,2007
GeForce G 100,480000,8GB/sec,500 MHz,Nvidia,,567,MHz,35,Watts,512,MB,2009
Radeon HD 3850,1049088,53.1GB/sec,830 MHz,AMD,,,,75,Watts,256,MB,2007
Radeon HD 3650,786432,25.6GB/sec,800 MHz,AMD,,,,65,Watts,256,MB,2008
Radeon HD 3600 Series,,,,AMD,,,,,,,,2008
Radeon HD 3470,480000,15.2GB/sec,950 MHz,AMD,,,,30,Watts,256,MB,2008
Radeon HD 3850 AGP,1049088,53.1GB/sec,830 MHz,AMD,,,,75,Watts,512,MB,2008
Radeon HD 3400 Series,,,,AMD,,,,65,Watts,256,MB,2008
Radeon HD 3850 X3,1049088,163.2GB/sec,850 MHz,AMD,,,,145,Watts,1536,MB,2008
Radeon HD 3450,480000,8GB/sec,500 MHz,AMD,,,,25,Watts,256,MB,2007
Radeon HD 3200 IGP,,,,AMD,,,,,,,,2008
Radeon HD 3300,,,,AMD,,,,,,,,2008
Radeon HD 3200,,3.2GB/sec,400 MHz,AMD,,,,,,,,2008
Radeon 3000,,,,AMD,,,,,,,,2009
Iris Pro Graphics 6200 Mobile,1049088,29.9GB/sec,933 MHz,Intel,,300,MHz,47,Watts,128,MB,2015
Iris Graphics 6100 Mobile,1049088,29.9GB/sec,933 MHz,Intel,,300,MHz,28,Watts,,,2015
Iris Pro Graphics 5200 Mobile,1049088,12.8GB/sec,800 MHz,Intel,,200,MHz,47,Watts,128,MB,2013
HD Pentium 4405U,1049088,34.1GB/sec,1067 MHz,Intel,,300,MHz,15,Watts,,,2015
Intel GS45 Express Chipset ,,17.1GB/sec,533 MHz,Intel,,,,12,Watts,,,2008
Iris Graphics 550 Mobile,1049088,34.1GB/sec,1067 MHz,Intel,,300,MHz,28,Watts,,,2015
Radeon R9 M295X 4GB,2073600,174.3GB/sec,1362 MHz,AMD,,,,125,Watts,4096,MB,2014
Radeon R9 M395X 4GB,2073600,160GB/sec,1250 MHz,AMD,,723,MHz,125,Watts,4096,MB,2015
Radeon R9 M390 4GB,2073600,153.6GB/sec,1200 MHz,AMD,,850,MHz,100,Watts,4096,MB,2015
HD i7 M640,,8.5GB/sec,533 MHz,Intel,,,,,,,,2010
Radeon R9 M485X 4GB,2073600,160GB/sec,1250 MHz,AMD,,723,MHz,125,Watts,4096,MB,2016
Radeon R9 M390X 4GB,2073600,160GB/sec,1250 MHz,AMD,,900,MHz,100,Watts,4096,MB,2015
Radeon R9 M290X Crossfire,2073600,307.2GB/sec,1200 MHz,AMD,,850,MHz,200,Watts,4096,MB,2014
HD i3 M350,,8.5GB/sec,533 MHz,Intel,,,,35,Watts,,,2010
Radeon HD 7290,921600,8.5GB/sec,533 MHz,AMD,,280,MHz,9,Watts,,,2012
Mobility Radeon HD 5870 Crossfire,1536000,128GB/sec,1000 MHz,AMD,,700,MHz,100,Watts,2048,MB,2010
Mobility Radeon HD 565v,1049088,25.6GB/sec,800 MHz,AMD,,,,35,Watts,1024,MB,2010
Mobility Radeon HD 5870,1440000,64GB/sec,1000 MHz,AMD,,700,MHz,50,Watts,1024,MB,2010
Mobility Radeon HD 5850,1440000,64GB/sec,1000 MHz,AMD,,625,MHz,39,Watts,1024,MB,2010
Mobility Radeon HD 5830,1049088,25.6GB/sec,800 MHz,AMD,,500,MHz,24,Watts,1024,MB,2010
Radeon R9 M290X,2073600,153.6GB/sec,1200 MHz,AMD,,850,MHz,100,Watts,4096,MB,2014
Mobility Radeon HD 5730,1049088,25.6GB/sec,800 MHz,AMD,,650,MHz,26,Watts,1024,MB,2010
Mobility Radeon HD 5770,1296000,51.2GB/sec,800 MHz,AMD,,650,MHz,30,Watts,1024,MB,2010
Mobility Radeon HD 5650,1049088,25.6GB/sec,800 MHz,AMD,,450,MHz,15,Watts,1024,MB,2010
Mobility Radeon HD 5470,786432,12.8GB/sec,800 MHz,AMD,,750,MHz,15,Watts,1024,MB,2010
Mobility Radeon HD 560v,1049088,25.6GB/sec,800 MHz,AMD,,,,35,Watts,1024,MB,2010
Mobility Radeon HD 550v,921600,19.2GB/sec,600 MHz,AMD,,,,20,Watts,1024,MB,2010
Mobility Radeon HD 545v,786432,12.8GB/sec,800 MHz,AMD,,,,15,Watts,1024,MB,2010
Mobility Radeon HD 5470 512MB,786432,12.8GB/sec,800 MHz,AMD,,,,15,Watts,512,MB,2010
Mobility Radeon HD 530v,480000,9.6GB/sec,600 MHz,AMD,,,,10,Watts,1024,MB,2010
Radeon HD 8970M Crossfire,2073600,307.2GB/sec,1200 MHz,AMD,,850,MHz,200,Watts,4096,MB,2013
Mobility Radeon HD 5145,480000,14.4GB/sec,900 MHz,AMD,,,,15,Watts,1024,MB,2010
Mobility Radeon HD 5450,480000,12.8GB/sec,800 MHz,AMD,,675,MHz,11,Watts,1024,MB,2010
Radeon HD 8970M,2073600,153.6GB/sec,1200 MHz,AMD,,850,MHz,100,Watts,2048,MB,2013
